Subject,trial_number,State_1,State_2,State_3,outcome_type,RT_1,RT_2,RT_3,Reward_received,Shock_received,trial_type,State_1_reward,State_2_reward,State_3_reward,State_4_reward,State_1_shock,State_2_shock,State_3_shock,State_4_shock
M012,0,1,3,7,moves_entered,10.054163697182958,12.779003545972955,14.251578916711878,0.23,0.0,0,0.23,0.19,1.0,1.0,0.0,1.0,1.0,0.0
M012,1,1,3,7,moves_entered,10.338677007213846,12.478147230322065,14.384011089488922,0.24,0.0,0,0.24,0.17,0.92,0.92,0.0,1.0,0.0,0.0
M012,2,1,3,7,moves_entered,9.894416524704866,12.468305341251835,14.339212936756667,0.21,0.0,0,0.21,0.27,0.92,0.93,0.0,0.0,0.0,0.0
M012,3,1,3,7,outcome_only,9.894416524704866,12.468305341251835,14.339212936756667,nan,nan,1,0.24,0.26,0.91,0.9,0.0,1.0,0.0,0.0
M012,4,2,5,9,moves_entered,10.070817347779666,12.682202821044484,14.33569742643158,0.89,0.0,0,0.23,0.28,0.89,0.88,1.0,0.0,0.0,1.0
M012,5,2,5,9,moves_entered,10.36614163871127,12.654996948782355,14.3418724996518,0.88,0.0,0,0.36,0.23,0.88,0.92,0.0,1.0,0.0,0.0
M012,6,2,5,9,moves_entered,9.986394888015639,12.609156394682941,14.236782775806205,0.85,0.0,0,0.34,0.35,0.85,0.85,1.0,1.0,0.0,0.0
M012,7,2,5,9,moves_entered,10.404068444997392,12.224076793583663,14.14505112084953,0.78,0.0,0,0.38,0.34,0.78,0.74,1.0,0.0,0.0,0.0
M012,8,2,5,9,moves_entered,10.580896070172457,12.689739309276774,14.322767498633766,0.78,0.0,0,0.34,0.32,0.78,0.79,0.0,0.0,0.0,1.0
M012,9,2,5,9,moves_entered,9.981569513674913,12.371978952462086,14.243192841237033,0.8,1.0,0,0.34,0.38,0.8,0.79,0.0,0.0,1.0,0.0
M012,10,1,4,8,moves_entered,10.469934888413263,12.140442662403075,14.631914486937603,0.32,0.0,0,0.42,0.32,0.82,0.78,0.0,0.0,1.0,0.0
M012,11,1,4,8,moves_entered,10.027037159899919,12.58333235698592,14.159047551776894,0.33,0.0,0,0.37,0.33,0.81,0.81,0.0,0.0,1.0,0.0
