Subject,trial_number,Move_1,Move_2,Move_3,State_1,State_2,State_3,RT_1,RT_2,RT_3,Reward,Shock,trial_type
2010,80,down,left,down,2,6,10,6.901191170394668,7.2677502264577925,7.667597045372531,0.39,1.0,0.0
2010,81,up,down,up,1,3,7,8.276796145300978,8.561863935294241,8.828671174172996,0.57,0.0,0.0
2010,82,up,down,up,1,3,7,7.021764367587821,7.337494485011121,7.583204845555883,0.52,0.0,0.0
2010,83,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.49,0.0,1.0
2010,84,down,left,down,2,6,10,7.671001776177945,8.021206006465945,8.32111388357589,0.53,0.0,0.0
2010,85,down,left,down,2,6,10,6.72588954492312,7.042495365401919,7.30911648390429,0.49,0.0,0.0
2010,86,up,down,up,1,3,7,6.798206348579697,7.273058339365889,7.6551989512990986,0.45,0.0,0.0
2010,87,up,right,down,1,4,8,6.302547037239492,6.636174503250004,6.952768942268449,0.54,0.0,0.0
2010,88,up,right,down,1,4,8,6.6486532718026865,6.981845229527607,7.331816139851071,0.45,0.0,0.0
2010,89,down,right,right,2,5,9,6.441086206537875,6.724399242932122,6.999718476195994,0.64,0.0,0.0
2010,90,down,right,right,2,5,9,6.475552954929299,6.792142372712988,7.042932882181049,0.66,0.0,0.0
2010,91,down,right,right,2,5,9,6.760093180697368,7.0137752509454,7.247793837541394,0.73,1.0,0.0
2010,92,down,right,right,2,5,9,6.718690435622193,7.018630783373737,7.286453985085245,0.72,1.0,0.0
2010,93,down,right,right,2,5,9,6.860060910905304,7.110022247410598,7.326461162101623,0.75,1.0,0.0
2010,94,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.18,0.0,1.0
2010,95,down,right,right,2,5,9,6.6884418578029,7.21308506571404,7.529798340581692,0.75,1.0,0.0
2010,96,up,down,up,1,3,7,6.691611929647479,7.041713726779562,7.375919304096897,0.15,0.0,0.0
2010,97,down,left,down,2,6,10,6.3716746883656015,6.688472654699581,6.8885369934323535,0.82,0.0,0.0
2010,98,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.87,0.0,1.0
2010,99,down,right,right,2,5,9,6.558878310079308,6.958952758230225,7.180655933723756,0.87,0.0,0.0
