Subject,trial_number,Move_1,Move_2,Move_3,State_1,State_2,State_3,RT_1,RT_2,RT_3,Reward,Shock,trial_type
1004,50,down,up,down,1,3,7,6.74540121170503,7.095400190737564,7.378729668942469,0.55,0.0,0.0
1004,51,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.58,0.0,1.0
1004,52,down,right,up,1,4,8,7.507017727673883,7.8569986305647035,8.090334853848617,0.55,0.0,0.0
1004,53,down,up,down,1,3,7,6.7105253027493745,6.927172894622345,7.160512465341526,0.58,0.0,0.0
1004,54,down,up,down,1,3,7,6.7105253027493745,6.927172894622345,7.160512465341526,0.58,0.0,0.0
1004,55,down,up,down,1,3,7,6.6468607932820305,6.946721573507602,7.130059520721261,0.58,1.0,0.0
1004,56,down,right,up,1,4,8,7.049305357266348,7.315949551493759,7.5826215294218855,0.55,0.0,0.0
1004,57,down,right,up,1,4,8,7.049305357266348,7.315949551493759,7.5826215294218855,0.55,0.0,0.0
1004,58,down,right,up,1,4,8,6.385815182151418,6.702431207722839,7.252440362954076,0.53,0.0,0.0
1004,59,right,up,left,2,6,10,6.302885521445205,6.652900233417313,6.936274901978322,0.45,0.0,0.0
1004,60,right,down,down,2,5,9,6.813000964395542,7.096309019025284,7.396352569139708,0.41,1.0,0.0
1004,61,down,up,down,1,3,7,7.251169342325738,7.517803494250984,7.767843412400907,0.63,0.0,0.0
1004,62,down,up,down,1,3,7,7.251169342325738,7.517803494250984,7.767843412400907,0.63,0.0,0.0
1004,63,down,up,down,1,3,7,7.172569252548783,7.489252226796452,7.822649942441785,0.6,0.0,0.0
1004,64,right,up,left,2,6,10,6.555032314452546,6.904981081977894,7.271680408441171,0.25,0.0,0.0
1004,65,right,down,down,2,5,9,7.8708560024351755,8.154172760390793,8.387541453785161,0.45,0.0,0.0
1004,66,right,down,down,2,5,9,7.8708560024351755,8.154172760390793,8.387541453785161,0.45,0.0,0.0
1004,67,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.68,1.0,1.0
1004,68,down,up,down,1,3,7,6.412042326293886,6.678667440148274,6.895351184306492,0.72,0.0,0.0
1004,69,down,up,down,1,3,7,6.6312028367501625,6.881152374184239,7.097792266959004,0.74,0.0,0.0
1004,70,down,up,down,1,3,7,6.4840787677949265,6.717347372916265,6.900698375122374,0.82,0.0,0.0
1004,71,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.78,1.0,1.0
1004,72,down,right,up,1,4,8,6.491688489146327,7.041722080644831,7.341664203513574,0.77,0.0,0.0
1004,73,down,right,up,1,4,8,6.491688489146327,7.041722080644831,7.341664203513574,0.77,0.0,0.0
1004,74,down,up,down,1,3,7,6.680590875632333,6.863872585956415,7.047242333790564,0.87,0.0,0.0
1004,75,down,up,down,1,3,7,6.92537230995913,7.175344944687822,7.492029257909962,0.79,0.0,0.0
1004,76,down,up,down,1,3,7,7.408257382849115,7.674894547464646,7.874902045718045,0.79,0.0,0.0
1004,77,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.66,1.0,1.0
1004,78,right,up,left,2,6,10,6.840149657073198,7.140006085635832,7.456677678608685,0.25,0.0,0.0
1004,79,right,down,down,2,5,9,6.51101288996324,6.761111722946225,6.994458323277286,0.2,0.0,0.0
1004,80,down,right,up,1,4,8,6.800236864417457,6.983550710107011,7.200246170285027,0.59,0.0,0.0
1004,81,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.36,0.0,1.0
1004,82,down,up,down,1,3,7,6.422430082986466,6.589120906966855,6.772464210074759,0.78,0.0,0.0
1004,83,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.42,0.0,1.0
1004,84,down,up,down,1,3,7,6.481223406730351,6.664498087444372,6.847836704144356,0.68,0.0,0.0
1004,85,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.67,0.0,1.0
1004,86,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.63,0.0,1.0
1004,87,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.52,0.0,1.0
1004,88,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.49,0.0,1.0
1004,89,right,down,down,2,5,9,6.829101116938546,7.129061985435328,7.3457366915226885,0.5,1.0,0.0
1004,90,down,up,down,1,3,7,8.02970144572464,8.446350845211782,8.679696776052879,0.56,0.0,0.0
1004,91,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.56,0.0,1.0
1004,92,down,right,up,1,4,8,6.529059240539937,6.679012560574847,6.912389957296909,0.48,0.0,0.0
1004,93,right,up,left,2,6,10,7.08504356517733,7.35154884090116,7.8182423763028055,0.66,1.0,0.0
1004,94,right,up,left,2,6,10,7.08504356517733,7.35154884090116,7.8182423763028055,0.66,1.0,0.0
1004,95,down,up,down,1,3,7,7.856767657629462,8.02338416857856,8.20673517078285,0.37,1.0,0.0
1004,96,right,down,down,2,5,9,6.382180538488683,6.731835736065477,7.098559498796021,0.71,0.0,0.0
1004,97,right,down,down,2,5,9,6.462979557554718,6.712956543948167,6.9463185424738185,0.72,0.0,0.0
1004,98,right,down,down,2,5,9,6.395752039506988,6.579044796362723,6.745717209458235,0.81,0.0,0.0
1004,99,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.4,0.0,1.0
